Review Title,Rating,Review Body,Review Date,cleaned_body
No title,No rating,"If you think about it by the amount, it will be good!If it's a light game, it works.I really wanted 13th generation, but 13 was scarce (; '∀').。。。。Is!!The standard thing can ripe more than enough, so I'm satisfied with the cost -effectiveness.later.。。Mazabo choice.It is determined by mazabo whether to make use of it and kill it.The following people.。。。Please do your best and use it for choosing Mazabo!!ww.",30 March 2024,"think amount , good ! 's light game , works.I really wanted 13th generation , 13 scarce ( ; '∀ ' ) .。。。。Is ! ! standard thing ripe enough , 'm satisfied cost -effectiveness.later.。。Mazabo choice.It determined mazabo whether make use kill it.The following people.。。。Please best use choosing Mazabo ! ! ww ."
No title,No rating,Excellent economic processor for not too heavy jobs.,28 March 2024,Excellent economic processor heavy jobs .
No title,No rating,Ok,25 March 2024,Ok
No title,No rating,"it's an i3, so don't expect i9 performance.  With that said, I am using it in a custom built NAS running Ubuntu, and it seems to run great.  It comes with a CPU cooler that works just fine for my purpose.  I am in a tight build in a small case with 4 HDDs, and temp under large file transfer loads are ~34 degrees.",23 March 2024,"'s i3 , n't expect i9 performance . said , using custom built NAS running Ubuntu , seems run great . comes CPU cooler works fine purpose . tight build small case 4 HDDs , temp large file transfer loads ~34 degrees ."
No title,No rating,I bought it to set up a good office PC or more if affinities ... With its 4 cores/8 12th generation threads: that makes a sacred difference compared to a 6th generation i3 (which had only 2 cores4 threads). In good I3 can even be used for gaming if they are coupled with a graphics card RTX3060 or RX6650XT See RTX 4060ti or RX7700XT.It heats up really little and is so well calibrated that the original ventirad is enough toCool it even during a CPU-Z test stress.,20 March 2024,bought set good office PC affinities ... 4 cores/8 12th generation threads : makes sacred difference compared 6th generation i3 ( 2 cores4 threads ) . good I3 even used gaming coupled graphics card RTX3060 RX6650XT See RTX 4060ti RX7700XT.It heats really little well calibrated original ventirad enough toCool even CPU-Z test stress .
No title,No rating,"I bought these processors and I was able to assemble my son's computer with 16GB RAM and you can play fornite, the video card I used is 6GB, I highly recommend the processor for the price and how fast it is",17 March 2024,"bought processors able assemble son 's computer 16GB RAM play fornite , video card used 6GB , highly recommend processor price fast"
No title,No rating,Working well until today March 2024,11 March 2024,Working well today March 2024
No title,No rating,as advertised,28 February 2024,advertised
No title,No rating,I picked it up for $120 on sale. That's a good priceIt works great,31 January 2024,picked $ 120 sale . 's good priceIt works great
No title,No rating,it works well  in my Linux system. I photo edit using gimp.,17 January 2024,works well Linux system . photo edit using gimp .
No title,No rating,I never had any issues with Intel CPUs. This one works great with my 3060 12 GB GPU.,16 January 2024,never issues Intel CPUs . one works great 3060 12 GB GPU .
No title,No rating,"Compared to the i3 of just a few generations ago, it's amazing how far these mid-entry-level CPUs have come.I upgraded my Plex server to a new motherboard and this i3-12100 and performance is excellent.Included CPU cooler isn't great but it's good enough.",15 January 2024,"Compared i3 generations ago , 's amazing far mid-entry-level CPUs come.I upgraded Plex server new motherboard i3-12100 performance excellent.Included CPU cooler n't great 's good enough ."
No title,No rating,Good For 4K TV at 60HZ UHD 730 built in graphics. My Son uses it for gaming Gaming  RTX 2070 8GB  and16GB Ram on Motherboard.  Good Value hardly difference with pricier 13100. I am using a GTX 1060 6GB for AI tutorials with 16GB RAM. My son and I are Happy with our respective use cases.,6 January 2024,Good 4K TV 60HZ UHD 730 built graphics . Son uses gaming Gaming RTX 2070 8GB and16GB Ram Motherboard . Good Value hardly difference pricier 13100 . using GTX 1060 6GB AI tutorials 16GB RAM . son Happy respective use cases .
No title,No rating,I've built 3 computers for clients on a budget using this CPU. It's power per dollar is great and it's on board graphics are good enough to run most games okay if you are on a really tight budget.,1 January 2024,'ve built 3 computers clients budget using CPU . 's power per dollar great 's board graphics good enough run games okay really tight budget .
No title,No rating,Quick and snappy processor for those on a budget. I currently have it in my PC I built myself and I'm very happy with it.,23 December 2023,Quick snappy processor budget . currently PC built 'm happy .
No title,No rating,The processor as a time that such works very well but I am disappointed on its points: the processor the lighting once unpack had a very present cigarette smell. The clipping is arriving with all the corners damage the thermal paste already installing on the Cooler n 'Was not protect with plastic so there was dirt sticking on it I am disappointed even if the processor itself is ok,20 December 2023,processor time works well disappointed points : processor lighting unpack present cigarette smell . clipping arriving corners damage thermal paste already installing Cooler n 'Was protect plastic dirt sticking disappointed even processor ok
No title,No rating,Works as intended even better than I thought it would really good budget cpu,14 December 2023,Works intended even better thought would really good budget cpu
No title,No rating,Works great in MSI mobo,4 December 2023,Works great MSI mobo
No title,No rating,It's amazing but for games not so amazing. Even applications are not entirely the best they could be faster if maybe you have an old GPU that's about 5 years old you could speed this i3 up but it's still not the best it could be but it is cheap I guess. Get an i5 or i7 1100+ instead.,26 November 2023,'s amazing games amazing . Even applications entirely best could faster maybe old GPU 's 5 years old could speed i3 's still best could cheap guess . Get i5 i7 1100+ instead .
No title,No rating,Good product to start putting together a basic computer,21 November 2023,Good product start putting together basic computer
No title,No rating,Good.,1 November 2023,Good .
No title,No rating,Works great out the box and super quiet cooler.,24 October 2023,Works great box super quiet cooler .
No title,No rating,Good temperatures with the factory and good performance dissipator when playing and working,22 October 2023,Good temperatures factory good performance dissipator playing working
No title,No rating,"This i3 is perfect whether it is for office automation or gaming. The 12100 is more expensive than the 12100F since there is an integrated GPU (UHD730) that is to say that there is no need to connectA graphics card which is perfect for an office PC, which can still run GTAV in 1080p. And if you want to add a graphics card for gaming it is quite possible, RTX4060 Max",21 October 2023,"i3 perfect whether office automation gaming . 12100 expensive 12100F since integrated GPU ( UHD730 ) say need connectA graphics card perfect office PC , still run GTAV 1080p . want add graphics card gaming quite possible , RTX4060 Max"
No title,No rating,Meets the specifications and this model brings integrated GPU,20 October 2023,Meets specifications model brings integrated GPU
No title,No rating,"I'm very impressed with this CPU. If I had the money I would get the I5-12600 Non-K for video work because of the extra cores but the I3-12100 is freaking amazing. This is the most powerful CPU I have ever used. It can do the video editing I need done for now until I get better. It uses hardly any power, stays cool and is capable of much more than I need for now. I had never been able to do video editing before because the computer would lock up regardless of how fast the HDD was or how much RAM I had.",19 October 2023,"'m impressed CPU . money would get I5-12600 Non-K video work extra cores I3-12100 freaking amazing . powerful CPU ever used . video editing need done get better . uses hardly power , stays cool capable much need . never able video editing computer would lock regardless fast HDD much RAM ."
No title,No rating,He arrived in time and in good condition it works well is original without any detail.Good performance,12 October 2023,arrived time good condition works well original without detail.Good performance
No title,No rating,"I have this installed into an Asrock motherboard. It works great. I was a little misinformed about the built in graphics and thought when I bought it was I was getting Iris Xe, but it's something called UHD. The product description clearly says UHD, so my bad really. Most of the other Intel 12th gen chips with graphics processing have Iris Xe which has many more graphics processing units. For sure the UHD is fine for many things including streaming video. Not sure about 3D gaming, though. Had I know it was UHD and not Iris, I might have saved $30 or so and bought the version without the graphics. On the other hand, I liked the idea of onboard graphics as a backup or alternative. In either case, this i3 runs like a champ compared to the quad core phenom ii based system it's replacing.I'm not sure it's relevant here but I think I should mention that my Asrock board can't make use of the on board UHD graphics when you set BIOS to legacy mode. You need to use the UEFI mode in order to use the on board graphics. Not sure if that's typical of other boards or board brands. With my Asrock board, you need a discrete graphics card to use the legacy bios mode to boot from an old non-UEFI installation of windows. If that doesn't make sense to you, don't worry about it.",29 September 2023,"installed Asrock motherboard . works great . little misinformed built graphics thought bought getting Iris Xe , 's something called UHD . product description clearly says UHD , bad really . Intel 12th gen chips graphics processing Iris Xe many graphics processing units . sure UHD fine many things including streaming video . sure 3D gaming , though . know UHD Iris , might saved $ 30 bought version without graphics . hand , liked idea onboard graphics backup alternative . either case , i3 runs like champ compared quad core phenom ii based system 's replacing.I 'm sure 's relevant think mention Asrock board ca n't make use board UHD graphics set BIOS legacy mode . need use UEFI mode order use board graphics . sure 's typical boards board brands . Asrock board , need discrete graphics card use legacy bios mode boot old non-UEFI installation windows . n't make sense , n't worry ."
No title,No rating,4 cores with hyper-threading. Works great. Very snappy and fast.Thank You.,29 September 2023,4 cores hyper-threading . Works great . snappy fast.Thank .
No title,No rating,"Good processor.The advantage of entry -level like that is that it consumes less, when it is no longer powerful enough I can recycle it in a multimedia server",24 September 2023,"Good processor.The advantage entry -level like consumes less , longer powerful enough recycle multimedia server"
No title,No rating,"For i3 processor this 12k model really performs, paired with a intel arc a770 16GB model has surprised me with the ability to stream while gaming New World with seedless ease.",11 September 2023,"i3 processor 12k model really performs , paired intel arc a770 16GB model surprised ability stream gaming New World seedless ease ."
No title,No rating,Strong single core. Decent multicore. For day to day use like browsing and MS Office this is perfect. Very good in gaming too. Why spend more.,9 September 2023,Strong single core . Decent multicore . day day use like browsing MS Office perfect . good gaming . spend .
No title,No rating,Good processor I recommend it.!,2 September 2023,Good processor recommend . !
No title,No rating,very good product,1 September 2023,good product
No title,No rating,"I bought this processor to be able to put it in an office PC.The performances are there. The graphic part of the processor allows you to put 2 screens without there being a bug or a slowdown. The processor is really a good compromise, it can as well be efficient in office automation as in gamesIf you couple it with a graphics card.",25 August 2023,"bought processor able put office PC.The performances . graphic part processor allows put 2 screens without bug slowdown . processor really good compromise , well efficient office automation gamesIf couple graphics card ."
No title,No rating,"Even in 2023, it's astounding how much performance this i3 delivers. On Cinebench's single-thread test, I get the same score as an 11900k, which is insane! It's good for gaming and exceptionally powerful for an office PC.",23 August 2023,"Even 2023 , 's astounding much performance i3 delivers . Cinebench 's single-thread test , get score 11900k , insane ! 's good gaming exceptionally powerful office PC ."
No title,No rating,Came in early.. box damaged but luckily cpu was in good condition.. used to update bios on h670 board to finally use a 13th gen cpu.. worked well.. and now its on its own motherboard.. no videocard for now but it works pretty well.. and didnt expect this to come with a fan.. thought it didnt have.. paired this with a b760m d3sh..Edit: surprisingly a very good daily performer.. thought less cores could be shaky but actually it performs well.. even games that can run on igpu are also giving an acceptable result which is very good for its price.. good balue purchase..Thanks seller!,13 August 2023,Came early .. box damaged luckily cpu good condition .. used update bios h670 board finally use 13th gen cpu .. worked well .. motherboard .. videocard works pretty well .. didnt expect come fan .. thought didnt .. paired b760m d3sh .. Edit : surprisingly good daily performer .. thought less cores could shaky actually performs well .. even games run igpu also giving acceptable result good price .. good balue purchase .. Thanks seller !
No title,No rating,"I heard about the same processing capacity as Sandy's i7 on YouTube, and purchased by changing from IVY I7 while thinking about doing half the story.The conversion time in the HD video was equivalent.",30 July 2023,"heard processing capacity Sandy 's i7 YouTube , purchased changing IVY I7 thinking half story.The conversion time HD video equivalent ."
No title,No rating,"Colombia arrived in 5 days, excellent processor",27 June 2023,"Colombia arrived 5 days , excellent processor"
No title,No rating,"Purchased for a server build. Works like a charm. Supports Quicksync for Plex transcoding which is phenomenal. For the price, it was the perfect option! No issues since installation.",10 June 2023,"Purchased server build . Works like charm . Supports Quicksync Plex transcoding phenomenal . price , perfect option ! issues since installation ."
No title,No rating,"It has been replaced from Corei7-2600 of Sandybridge, but it is also used for applications that were too good and did not assume at first.You can play a light 3D game with a built -in graphic, and you can also edit FHD videos (Aviutl, Davinciresolve).MineCRAFT and A Train 9/A train starts, as well as Citiska, and TPF2 can be played with main memory.Compared to the i7-2600, the power consumption is less than the single core is tripled.Is it progress over 10 years?",28 May 2023,"replaced Corei7-2600 Sandybridge , also used applications good assume first.You play light 3D game built -in graphic , also edit FHD videos ( Aviutl , Davinciresolve ) .MineCRAFT Train 9/A train starts , well Citiska , TPF2 played main memory.Compared i7-2600 , power consumption less single core tripled.Is progress 10 years ?"
No title,No rating,"I replaced the CPU and motherboard and upgraded from Windows 10 to 11.In addition to changing the CPU cooler to retail, the memory is DDR4-2133.8GB x 2.In addition, M.2nvmessd / 256GB, which contains the system, is recognized just by replacing it with a new motherboard, and can be updated daily without performing any authentication procedures.I rarely play games, but as you can see on CPU -Z, the performance seems to be as good as it is.",24 May 2023,"replaced CPU motherboard upgraded Windows 10 11.In addition changing CPU cooler retail , memory DDR4-2133.8GB x 2.In addition , M.2nvmessd / 256GB , contains system , recognized replacing new motherboard , updated daily without performing authentication procedures.I rarely play games , see CPU -Z , performance seems good ."
No title,No rating,Great for simple applications such as displaying video on multiple screens or running light programs,6 May 2023,Great simple applications displaying video multiple screens running light programs
No title,No rating,"Great little CPU. I just wanted an entertainment server so I built a quick and dirty $500 computer, but I might actually use this for my video editing and gaming machine instead. Immediately ran benchmarks and was pleasantly surprised. This thing can game and it can be a workhorse. It comes with a fan that's just fine but I had already purchased a separate fan/cooler before realizing this came with one, so I'm using that instead. This is one of those no-brainer items where you're guaranteed quality and performance at a very low price. I wish all items were as good.",26 April 2023,"Great little CPU . wanted entertainment server built quick dirty $ 500 computer , might actually use video editing gaming machine instead . Immediately ran benchmarks pleasantly surprised . thing game workhorse . comes fan 's fine already purchased separate fan/cooler realizing came one , 'm using instead . one no-brainer items 're guaranteed quality performance low price . wish items good ."
No title,No rating,"I bought for domestic use to have a lot of durability, but it runs many heavy programs.it is worth it",17 April 2023,"bought domestic use lot durability , runs many heavy programs.it worth"
No title,No rating,"The processor has been working for more than 6 months without problem almost every day more than 8 hours a day, meets a simple job and it is very stable to install it in a Mother H610 Mother of MSI",14 April 2023,"processor working 6 months without problem almost every day 8 hours day , meets simple job stable install Mother H610 Mother MSI"
No title,No rating,Works as intended.,4 April 2023,Works intended .
No title,No rating,"I have an i7-10700k.In Single-Core he wins at 10700k (I'm Flipao).In AIDA64 in the Memory section it works just like 10700K at 50000 MB more or less with 12-100mhz and i7-10700k 3900MHz memories.In certain AIDA tests64 he wins 12100, and in which the 8 10700K cores demand more CPU.But that this little boy raised face to me 10700k is not bad.And a mini-pc that came out for € 380. For many people this micro is more than enough.It has power.",24 March 2023,"i7-10700k.In Single-Core wins 10700k ( 'm Flipao ) .In AIDA64 Memory section works like 10700K 50000 MB less 12-100mhz i7-10700k 3900MHz memories.In certain AIDA tests64 wins 12100 , 8 10700K cores demand CPU.But little boy raised face 10700k bad.And mini-pc came € 380 . many people micro enough.It power ."
No title,No rating,,1 March 2023,
No title,No rating,Graphics seem good enough for my present needs. Better than the nvidia card I had in my old pc.,26 February 2023,Graphics seem good enough present needs . Better nvidia card old pc .
No title,No rating,"All very well, procesador works fine AND, seller included a good cooler, larger than stock, pleasantly surprised.",23 February 2023,"well , procesador works fine , seller included good cooler , larger stock , pleasantly surprised ."
No title,No rating,This Intel Core i3 (12th Gen) i3-12100 Quad-core (4 Core) 3.30 GHz Processor works great for my gaming system.,15 February 2023,Intel Core i3 ( 12th Gen ) i3-12100 Quad-core ( 4 Core ) 3.30 GHz Processor works great gaming system .
No title,No rating,Good performance for the price point. Bring a magnifying glass to find the alignment arrow.,31 January 2023,Good performance price point . Bring magnifying glass find alignment arrow .
No title,No rating,"Great budget CPU, no bottle neck for my GPU (GeForce GTX 1080). Above 100+ fps on most games at 1080p at mid to max resolution. Very happy.",30 January 2023,"Great budget CPU , bottle neck GPU ( GeForce GTX 1080 ) . 100+ fps games 1080p mid max resolution . happy ."
No title,No rating,"Replacement from an old self -made PC that Windows11 is not possible.I think that if you buy 12 generations now, you will focus on cospa, but if you are not a gaming PC, it will be enough performance.I knew that the retail cooler was included, but it looked cool and surprised.In my case, I have never felt noisy at the moment because there is almost no high -load work.However, grease was procured separately, spread, and thickly applied in order to allow the 12th generation CPU to warpage.",17 January 2023,"Replacement old self -made PC Windows11 possible.I think buy 12 generations , focus cospa , gaming PC , enough performance.I knew retail cooler included , looked cool surprised.In case , never felt noisy moment almost high -load work.However , grease procured separately , spread , thickly applied order allow 12th generation CPU warpage ."
No title,No rating,"I wanted a low power consumption T, but it was not distributed at the time of purchase, so I made it unbranded.As the title suggests, there is no problem in office use.Even in YouTube viewing, the CPU usage is 3-10%, and the built -in GPU is about 5%, and there is room.It is a recommended CPU for light users and office work.",12 January 2023,"wanted low power consumption , distributed time purchase , made unbranded.As title suggests , problem office use.Even YouTube viewing , CPU usage 3-10 % , built -in GPU 5 % , room.It recommended CPU light users office work ."
No title,No rating,Private,26 December 2022,Private
No title,No rating,"It may have been noisy until now, but the attached fan is quiet enough.",16 December 2022,"may noisy , attached fan quiet enough ."
No title,No rating,I liked that it is well packaged and arrives on time or before.,13 December 2022,liked well packaged arrives time .
No title,No rating,"If you can, you want to graduate from Thermal Cooler",5 December 2022,", want graduate Thermal Cooler"
No title,No rating,"This CPU is incredibly fast and is great for browsing the web and YouTube, completing office tasks or schoolwork, and even light to medium gaming. It only has 4 cores but they are so fast that it can compete with other processors like the 5600G. The integrated graphics aren't amazing but they get the job done and have allowed me to run light games like Roblox and Civ VI while I save for a graphics card. The stock cooler is not amazing at cooling but the i3 12100 doesn't take much power so while any new cooler would probably be an improvement, this one has been doing just fine. For anyone building a PC on a budget, I can easily say this is a great CPU. It won't run all the latest games at max settings but since it can be found for so cheap, it makes for a very cost effective processor.",29 November 2022,"CPU incredibly fast great browsing web YouTube , completing office tasks schoolwork , even light medium gaming . 4 cores fast compete processors like 5600G . integrated graphics n't amazing get job done allowed run light games like Roblox Civ VI save graphics card . stock cooler amazing cooling i3 12100 n't take much power new cooler would probably improvement , one fine . anyone building PC budget , easily say great CPU . wo n't run latest games max settings since found cheap , makes cost effective processor ."
No title,No rating,"Cospa is the best.At the beginning of your own PC, this CPU is enough, and if the price drops, we plan to change it later.",28 November 2022,"Cospa best.At beginning PC , CPU enough , price drops , plan change later ."
No title,No rating,"It's an Intel, it's fast and it's very affordable.  What more could you ask for?",21 November 2022,"'s Intel , 's fast 's affordable . could ask ?"
No title,No rating,"Great processor for entry level gaming, I use it with a 1660 super and 16gb of ram works great with most games delivering up to 300 fps in some less demanding games, do expect games like fortnite, warzone, or valorant to run flawlessly with fps in some instances going as high as 300fps in certain games, never experienced stutters or any sorts of limitations, all in all got 151 total it is a great price to performance proccesor.",21 October 2022,"Great processor entry level gaming , use 1660 super 16gb ram works great games delivering 300 fps less demanding games , expect games like fortnite , warzone , valorant run flawlessly fps instances going high 300fps certain games , never experienced stutters sorts limitations , got 151 total great price performance proccesor ."
No title,No rating,I was on the fence about buying this cpu because i have a i3 10100 10th generation and it is slow when i game but man this 12100 12th gen CPU is a powerhouse i paired this cpu with a b660 mobo and 16gigs of ram Let me tell you it handles everything i throw at it i can have 2 games open plus a movie and it doesnt lag,15 October 2022,fence buying cpu i3 10100 10th generation slow game man 12100 12th gen CPU powerhouse paired cpu b660 mobo 16gigs ram Let tell handles everything throw 2 games open plus movie doesnt lag
No title,No rating,"General PC work and video viewing move crispy.The game can be played without stress by combining it with Grabo with GTX1650 or higher.However, in a high -spec grab, it will be a bottleneck.Also, the built -in graphic is not a problem in normal work, but it is only a bonus, so do not expect excessive expectations.",2 October 2022,"General PC work video viewing move crispy.The game played without stress combining Grabo GTX1650 higher.However , high -spec grab , bottleneck.Also , built -in graphic problem normal work , bonus , expect excessive expectations ."
No title,No rating,Decent proc but the benchmarks will have you believe that it's better than the i7 8700k. This is not the case. Maybe it is in single core performance and anything up to 8 threads but the cores max out easily and slow everything down. Save up a little more and buy an i5 12600k or an i7 and I promise you'll be happier.,26 September 2022,Decent proc benchmarks believe 's better i7 8700k . case . Maybe single core performance anything 8 threads cores max easily slow everything . Save little buy i5 12600k i7 promise 'll happier .
No title,No rating,"You will have more fps in most games than with CPU Intel of Generation 11 and AMD Ryzen 5000 in the categories of (i3 i5, Ryzen 3 and Ryzen 5) with the exception of the i5 11600k and the Ryzen 5 5600x or higher CPUS",13 September 2022,"fps games CPU Intel Generation 11 AMD Ryzen 5000 categories ( i3 i5 , Ryzen 3 Ryzen 5 ) exception i5 11600k Ryzen 5 5600x higher CPUS"
No title,No rating,I can't see spending a lot of money on a processor just for surfing the web or downloading email. This one fit the bill and works great. Very speedy and so far very reliable.,4 September 2022,ca n't see spending lot money processor surfing web downloading email . one fit bill works great . speedy far reliable .
No title,No rating,"Purchased to set up a basic configuration, this processor keeps its promises in terms of power. I appreciated the supply of the fan and the disconcerting facility of installation on the mother card. I lack perspective to appreciate the noise level underStrong processor load but the fan remains discreet in ordinary use, using the integrated graphic chip. On the day of the purchase, I chose it for its excellent value for money.",2 September 2022,"Purchased set basic configuration , processor keeps promises terms power . appreciated supply fan disconcerting facility installation mother card . lack perspective appreciate noise level underStrong processor load fan remains discreet ordinary use , using integrated graphic chip . day purchase , chose excellent value money ."
No title,No rating,Received in good condition and really a good processor,1 September 2022,Received good condition really good processor
No title,No rating,"This product was very affordable, my entire build was ~$1,006 USD.  At this price point $130-140 totally beats out anything in the past that I have build anywhere near that price for the performance on the chip, especially looking at past choices.  it has enough PCIE lanes in the CPU that I can have an SSD and an RTX 3060 and plays very well at 1080P gaming.  I'm getting solid FPS for the games that are played where it does matter to me so for what the intended use is for it's perfect.  Too bad intel is only winning my business at the low end.",16 August 2022,"product affordable , entire build ~ $ 1,006 USD . price point $ 130-140 totally beats anything past build anywhere near price performance chip , especially looking past choices . enough PCIE lanes CPU SSD RTX 3060 plays well 1080P gaming . 'm getting solid FPS games played matter intended use 's perfect . bad intel winning business low end ."
No title,No rating,"Single red performance is not so low.Multi -thread performance can be spent on the GPU, so that is better.Especially for DPL.",10 August 2022,"Single red performance low.Multi -thread performance spent GPU , better.Especially DPL ."
No title,No rating,Cospa is the strongest,30 July 2022,Cospa strongest
No title,No rating,"Excellent processor but beware, the maximum frequency of the RAM will be limited to 1333 MHz contrary to what Intel declares (3200 MHz with DDR4) ...",22 July 2022,"Excellent processor beware , maximum frequency RAM limited 1333 MHz contrary Intel declares ( 3200 MHz DDR4 ) ..."
No title,No rating,"I wanted to make i5-12400, but the price rises and the number of cores increases from the clock 3.3 to 2.5g even if the number of cores is increased by 50 %, so the difference is small.feel.The encoding performance is not much different from the i5-9600K, but it is comfortable because it moves and the video can be instantly flyed first.Since the image quality is getting better, it looks good for hardware encoding.QSV has a low CPU temperature, but if you use a CPU, it will be higher, so you are worried about genuine CPU coolers in midsummer.The design of the CPU cooler is cool and easy to wire.The installation parts were also new and easy to insert.",20 July 2022,"wanted make i5-12400 , price rises number cores increases clock 3.3 2.5g even number cores increased 50 % , difference small.feel.The encoding performance much different i5-9600K , comfortable moves video instantly flyed first.Since image quality getting better , looks good hardware encoding.QSV low CPU temperature , use CPU , higher , worried genuine CPU coolers midsummer.The design CPU cooler cool easy wire.The installation parts also new easy insert ."
No title,No rating,I used it for my first self -made personal computer.,8 July 2022,used first self -made personal computer .
No title,No rating,"At 4 cores and 8 threads, this processor is equivalent to the top tier i7 processors of just a few years ago.  Mine is paired with 16 GB of RAM and an RX 6600, and it handles everything I do (1080 gaming) very comfortably.The heat sink that is included is very minimalist, but it does the job. Idle temperature is about 40C and the processor peaks at about 65C under load. That being said, the fan is very audible at max speed (3,000 RPM) to maintain that stable temperature under load. One might be wise to consider a different heat sink on a gaming computer. Almost any air-cooled device would be sufficient. Liquid cooling would be overkill.Otherwise, it will handle everyday home office tasks with little effort.",2 July 2022,"4 cores 8 threads , processor equivalent top tier i7 processors years ago . Mine paired 16 GB RAM RX 6600 , handles everything ( 1080 gaming ) comfortably.The heat sink included minimalist , job . Idle temperature 40C processor peaks 65C load . said , fan audible max speed ( 3,000 RPM ) maintain stable temperature load . One might wise consider different heat sink gaming computer . Almost air-cooled device would sufficient . Liquid cooling would overkill.Otherwise , handle everyday home office tasks little effort ."
No title,No rating,"Bought in June 2022 and at present it is an excellent value for money (the best in the under 150 € with graphic part) and largely sufficient for office automation and a little gaming.Although this is an i3, it remains efficient (more efficient than an i5 10400). The i5 12400 is also a very good and more efficient solution, but around 200 €. The i3 12100 is for the moment a good processorIn ""low prices"" while having a minimum performance, even for gaming. The unknown is that the mother cards for the 12th generation are quite expensive (a little more expensive than the old generations).Personally I took a B660M",18 June 2022,"Bought June 2022 present excellent value money ( best 150 € graphic part ) largely sufficient office automation little gaming.Although i3 , remains efficient ( efficient i5 10400 ) . i5 12400 also good efficient solution , around 200 € . i3 12100 moment good processorIn `` low prices '' minimum performance , even gaming . unknown mother cards 12th generation quite expensive ( little expensive old generations ) .Personally took B660M"
No title,No rating,"He currently pays as ninth or tenth generation.And handle all current technology.I am waiting to try it since I still do not have the worst board I already secured the heart of the machine, with these changes of stock and price it was the best.",8 June 2022,"currently pays ninth tenth generation.And handle current technology.I waiting try since still worst board already secured heart machine , changes stock price best ."
No title,No rating,The best for that price,5 June 2022,best price
No title,No rating,This CPU set up nicely with Windows 11.,1 June 2022,CPU set nicely Windows 11 .
No title,No rating,"How many of you just need a fast processor for standard home/office work? Buy this and call it a day.If you need something to handle Microsoft Office, any browser (your internet connection matters more), and basic applications, the 12100 is all you need. Loading time is very good. You really don't need amazing graphics to perform any of these tasks. I'm using integrated video and it suits me just fine. My other computer uses the APU on an AMD 5600G and I've never had issues. I paired this CPU with a barebones Gigabyte motherboard (cheapest I could find) and 8GB of DDR4 memory and it rivals my AMD setup for plain tasks.Don't feel like you need an i5, i7, or even the i3 12400 if you just need an everyday computer for watching videos, doing online banking, or crunching out work material (unless you are editing heavy media). This i3-12100 is the equivalent of a quad core processor from years back. If you are working on virtual machines, doing strong programming, have a million windows open, need to use Adobe Creative Suite to quickly produce and export content, then you may want to consider moving up to a stronger processor. Even so, this one is still pretty good - it will just take longer to complete some things.I'm overall very happy with this processor and I think most households who have similar requirements will be satisfied. The 12400 did get to $160 at some point so that could be something to look at to future proof a machine since it has six cores (not that I need them right now).",19 May 2022,"many need fast processor standard home/office work ? Buy call day.If need something handle Microsoft Office , browser ( internet connection matters ) , basic applications , 12100 need . Loading time good . really n't need amazing graphics perform tasks . 'm using integrated video suits fine . computer uses APU AMD 5600G 've never issues . paired CPU barebones Gigabyte motherboard ( cheapest could find ) 8GB DDR4 memory rivals AMD setup plain tasks.Do n't feel like need i5 , i7 , even i3 12400 need everyday computer watching videos , online banking , crunching work material ( unless editing heavy media ) . i3-12100 equivalent quad core processor years back . working virtual machines , strong programming , million windows open , need use Adobe Creative Suite quickly produce export content , may want consider moving stronger processor . Even , one still pretty good - take longer complete things.I 'm overall happy processor think households similar requirements satisfied . 12400 get $ 160 point could something look future proof machine since six cores ( need right ) ."
No title,No rating,Very good entry level start,15 May 2022,good entry level start
